Req_Line_ID,Order_Line_ID,Goods_ID,Invoice_ID,Activity,DateTime,Resource,Role,Requisition_Vendor,Order_Vendor,Invoice_Vendor,Pay_Vendor,Requisition_Type,Order_Type,Purchasing_Group,Purchasing_Organization,Material_Group,Material_Number,Plant,Good_ReferenceNumber,Requisition_Header,Order_Header,Invoice_Header,ClearDoc_Header,Good_Year,Invoice_Year,Order_Line_Amount,Invoice_Amount,Paid_Amount,Invoice_Document_Date,Invoice_Due_Date,Pay_Type,Pay_Delay,UserType,Invoice_Is_Overdue
0010149524_30,,,,Requisition Line Created,1/17/17 0:00,DST0B,Secretary,VND02511,,,,Indirect,,,,,,,,10149524,,,,,,0,0,0,,,,0,HUMAN,
0010149524_20,,,,Requisition Line Created,1/17/17 0:00,DST0B,Secretary,VND02511,,,,Indirect,,,,,,,,10149524,,,,,,0,0,0,,,,0,HUMAN,
0010149524_10,,,,Requisition Line Created,1/17/17 0:00,DST0B,Secretary,VND02511,,,,Indirect,,,,,,,,10149524,,,,,,0,0,0,,,,0,HUMAN,
0010149524_30,,,,Requisition Line Approved,1/17/17 17:09,DST56,Req Approver,VND02511,,,,Indirect,,,,,,,,10149524,,,,,,0,0,0,,,,0,HUMAN,
0010149524_20,,,,Requisition Line Approved,1/17/17 17:09,DST56,Req Approver,VND02511,,,,Indirect,,,,,,,,10149524,,,,,,0,0,0,,,,0,HUMAN,
0010149524_10,,,,Requisition Line Approved,1/17/17 17:09,DST56,Req Approver,VND02511,,,,Indirect,,,,,,,,10149524,,,,,,0,0,0,,,,0,HUMAN,
0010149524_30,4500153618_30,,,Order Line Created,1/20/17 16:02,DST25,Procurement,VND02511,VND05870,,,Indirect,Standard Order,ID8,IT10,S310-1211,S310121101,,,10149524,4500153618,,,,,21.8,0,0,,,,0,HUMAN,
0010149524_20,4500153618_20,,,Order Line Created,1/20/17 16:02,DST25,Procurement,VND02511,VND05870,,,Indirect,Standard Order,ID8,IT10,S120-0031,S120003101,,,10149524,4500153618,,,,,50,0,0,,,,0,HUMAN,
0010149524_10,4500153618_10,,,Order Line Created,1/20/17 16:02,DST25,Procurement,VND02511,VND05870,,,Indirect,Standard Order,ID8,IT10,S120-0031,S120003101,,,10149524,4500153618,,,,,2000,0,0,,,,0,HUMAN,
,4500153618_30,,,Order Released,1/20/17 16:03,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S310-1211,S310121101,,,,4500153618,,,,,21.8,0,0,,,,0,HUMAN,
,4500153618_20,,,Order Released,1/20/17 16:03,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,50,0,0,,,,0,HUMAN,
,4500153618_10,,,Order Released,1/20/17 16:03,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,2000,0,0,,,,0,HUMAN,
,4500153618_30,,,Order Approved,1/20/17 18:21,DST112,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S310-1211,S310121101,,,,4500153618,,,,,21.8,0,0,,,,0,HUMAN,
,4500153618_20,,,Order Approved,1/20/17 18:21,DST112,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,50,0,0,,,,0,HUMAN,
,4500153618_10,,,Order Approved,1/20/17 18:21,DST112,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,2000,0,0,,,,0,HUMAN,
,4500153618_30,,,Order Printed Out,1/23/17 8:36,DST112,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S310-1211,S310121101,,,,4500153618,,,,,21.8,0,0,,,,0,HUMAN,
,4500153618_20,,,Order Printed Out,1/23/17 8:36,DST112,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,50,0,0,,,,0,HUMAN,
,4500153618_10,,,Order Printed Out,1/23/17 8:36,DST112,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,2000,0,0,,,,0,HUMAN,
,4500153618_30,,,Order Changed: Payment Terms,1/25/17 11:06,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S310-1211,S310121101,,,,4500153618,,,,,21.8,0,0,,,,0,HUMAN,
,4500153618_30,,,Order Changed: Inco Terms,1/25/17 11:06,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S310-1211,S310121101,,,,4500153618,,,,,21.8,0,0,,,,0,HUMAN,
,4500153618_20,,,Order Changed: Payment Terms,1/25/17 11:06,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,50,0,0,,,,0,HUMAN,
,4500153618_20,,,Order Changed: Inco Terms,1/25/17 11:06,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,50,0,0,,,,0,HUMAN,
,4500153618_10,,,Order Changed: Payment Terms,1/25/17 11:06,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,2000,0,0,,,,0,HUMAN,
,4500153618_10,,,Order Changed: Inco Terms,1/25/17 11:06,DST25,Procurement,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,,,,4500153618,,,,,2000,0,0,,,,0,HUMAN,
,4500153618_10,5000556360_1_2017,,Goods Line Registered,3/3/17 15:51,DST55,Warehouse,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,IT01,201715640,,4500153618,,,2017,,2000,0,0,,,,0,HUMAN,
,4500153618_20,5000556360_2_2017,,Goods Line Registered,3/3/17 15:51,DST55,Warehouse,,VND05870,,,,Standard Order,ID8,IT10,S120-0031,S120003101,IT01,201715640,,4500153618,,,2017,,50,0,0,,,,0,HUMAN,
,4500153618_30,5000556360_3_2017,,Goods Line Registered,3/3/17 15:51,DST55,Warehouse,,VND05870,,,,Standard Order,ID8,IT10,S310-1211,S310121101,IT01,201715640,,4500153618,,,2017,,21.8,0,0,,,,0,HUMAN,
